record_id,equipment_id,equipment_type,location,visit_date,technician_id,defect_description,true_defect_label,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence,quality_score
WO-00013,EQ-0014,Cooling Tower,Plant B - Line 1,2022-02-11,TECH-001,"Heat exchanger fouling reducing efficiency, outlet temp 113°C above setpoint",overheating,High,,15.2,4.5,O-ring set,0.47,0.68,0.56,0.97,0.656
WO-00014,EQ-0030,Gearbox,Plant A - Line 1,2022-01-13,TECH-012,"Capacitor bank showing reduced capacitance, power factor 0.68 below target. Additionally, earth leakage current 31.0ma detected, isolation check required",electrical_fault,High,,13.2,2.1,Impeller,0.8,0.66,0.87,0.98,0.812
WO-00015,EQ-0018,Electric Motor,Utilities Block,2022-01-30,TECH-009,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,Medium,84.0,3.3,1.0,Coupling insert,0.5,0.76,0.94,0.73,0.734
WO-00016,EQ-0034,Air Compressor,Plant B - Line 1,2023-04-30,TECH-011,"Oil level low in gearbox sight glass, top-up of 1.9L required",lubrication,Low,89.0,7.1,7.9,Coupling insert,0.79,0.56,0.63,0.47,0.617
WO-00017,EQ-0013,Electric Motor,Plant B - Line 1,2023-01-05,TECH-002,"Hydraulic fluid leak at cylinder rod seal, 60 ml/hr estimated loss",seal_leak,Medium,4.0,11.5,2.2,Bearing 6205-2RS,0.69,0.82,0.56,0.92,0.742
WO-00018,EQ-0032,Electric Motor,Plant A - Line 2,2022-11-01,TECH-020,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, o-ring compression set failure, intermittent leak under high pressure",bearing_wear,Medium,,15.8,7.2,Bearing 6205-2RS,0.73,0.84,0.97,0.52,0.781
WO-00019,EQ-0014,Cooling Tower,Plant B - Line 1,2023-12-05,TECH-007,"Mechanical seal leaking at shaft interface, fluid loss approx 5 ml/hr",seal_leak,Medium,68.0,12.7,11.9,None - monitoring,0.38,0.53,0.57,0.56,0.508
WO-00020,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-10-12,TECH-003,"Bearing temperature elevated to 115°C during operation, vibration increasing. Additionally, bearing play exceeding tolerance, axial movement of 0.87mm observed",bearing_wear,Medium,150.0,7.3,8.9,Impeller,0.54,0.6,0.84,0.91,0.707
WO-00021,EQ-0022,Heat Exchanger,Plant A - Line 2,2023-05-12,TECH-006,"Overheating on drive-end bearing, infrared scan shows hot spot at 83°C. Additionally, wrong lubricant grade used during last service, compatibility issue",overheating,High,162.0,9.9,3.6,Oil filter + 5L oil,0.69,0.73,0.55,1.0,0.729
WO-00022,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-05-20,TECH-014,"Motor winding temperature reached 106°C, thermal protection triggered",overheating,High,,4.8,5.7,Coupling insert,0.95,0.7,0.91,0.57,0.789
WO-00023,EQ-0020,Electric Motor,Warehouse C,2023-02-25,TECH-013,"Chemical attack on pump impeller, material loss estimated 27%",corrosion,Low,122.0,11.4,13.9,O-ring set,0.65,0.42,0.75,0.75,0.626
WO-00024,EQ-0007,Heat Exchanger,Utilities Block,2023-11-22,TECH-016,"Grease nipple blocked, bearing running dry for estimated 12 days",lubrication,Low,,6.4,3.0,Capacitor 40µF,0.33,0.44,0.82,0.95,0.609
WO-00025,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-02-26,TECH-013,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,High,47.0,3.1,0.4,Contactor 3RT2,0.65,0.75,0.62,0.78,0.698
WO-00026,EQ-0030,Gearbox,Plant A - Line 1,2023-01-29,TECH-012,"Mechanical seal leaking at shaft interface, fluid loss approx 45 ml/hr",seal_leak,Medium,,2.2,1.3,Oil filter + 5L oil,0.99,0.58,0.99,0.79,0.827
WO-00027,EQ-0018,Electric Motor,Utilities Block,2023-11-07,TECH-002,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,,2.6,0.4,Oil filter + 5L oil,0.85,0.42,0.68,0.48,0.604
WO-00028,EQ-0019,Centrifugal Pump,Plant B - Line 1,2022-04-28,TECH-013,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,20.0,2.7,3.9,Capacitor 40µF,0.56,0.87,0.51,0.72,0.672
WO-00029,EQ-0030,Gearbox,Plant A - Line 1,2023-11-18,TECH-019,"Electrical cabinet temperature 108°C due to failed ventilation fan. Additionally, grease nipple blocked, bearing running dry for estimated 11 days",overheating,High,,11.3,9.2,O-ring set,0.92,0.79,0.92,0.77,0.851
WO-00030,EQ-0018,Electric Motor,Utilities Block,2023-10-17,TECH-005,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,Medium,6.0,1.3,0.7,Contactor 3RT2,0.35,0.86,0.6,0.53,0.602
WO-00031,EQ-0015,Conveyor Belt,Plant B - Line 1,2022-11-28,TECH-017,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,68.0,1.3,1.4,Mechanical seal kit,0.82,0.69,0.89,0.71,0.776
WO-00032,EQ-0007,Heat Exchanger,Utilities Block,2023-03-31,TECH-005,"Cooling fan obstructed by debris, motor surface temperature 104°C",overheating,High,21.0,5.5,1.2,Oil filter + 5L oil,0.74,0.75,0.86,0.63,0.751
WO-00033,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-08-24,TECH-014,"Structural resonance observed at 1000 RPM, bolts found loose on baseplate. Additionally, misalignment between motor and gearbox shaft, 17.3 mm/s 2x vibration",vibration,Medium,,9.2,9.2,Coupling insert,0.91,0.96,0.71,0.95,0.883
WO-00034,EQ-0004,Electric Motor,Warehouse C,2023-07-29,TECH-018,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,13.2,12.1,Bearing 6205-2RS,0.73,0.79,0.85,0.42,0.716
WO-00035,EQ-0018,Electric Motor,Utilities Block,2022-12-16,TECH-019,"Contactor pitting observed, intermittent contact causing voltage dips",electrical_fault,High,80.0,11.7,13.6,Mechanical seal kit,0.92,0.49,0.88,0.43,0.683
WO-00036,EQ-0006,Gearbox,Warehouse C,2022-08-14,TECH-007,"Hydraulic fluid leak at cylinder rod seal, 60 ml/hr estimated loss",seal_leak,Medium,154.0,1.3,0.4,O-ring set,0.83,0.57,0.56,0.7,0.658
WO-00037,EQ-0028,Air Compressor,Utilities Block,2023-10-18,TECH-006,"Bearing play exceeding tolerance, axial movement of 1.79mm observed",bearing_wear,Medium,30.0,6.8,9.9,Impeller,0.88,0.95,0.54,0.91,0.822
WO-00038,EQ-0016,Air Compressor,Warehouse C,2023-10-23,TECH-007,"Overheating on drive-end bearing, infrared scan shows hot spot at 98°C",overheating,High,,4.2,0.9,O-ring set,0.72,0.86,0.83,0.51,0.747
WO-00039,EQ-0050,Electric Motor,Plant A - Line 2,2022-03-17,TECH-010,"Structural resonance observed at 1450 RPM, bolts found loose on baseplate",vibration,Medium,116.0,1.1,0.6,Mechanical seal kit,0.75,0.99,0.55,0.76,0.774
WO-00040,EQ-0025,Centrifugal Pump,Plant A - Line 1,2022-03-28,TECH-015,"Compressor discharge temperature 115°C, intercooler bypass suspected",overheating,High,45.0,1.1,1.2,Capacitor 40µF,0.67,0.5,0.69,0.57,0.604
WO-00041,EQ-0027,Gearbox,Warehouse C,2023-08-20,TECH-013,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,,14.7,6.8,O-ring set,0.72,0.96,0.65,0.63,0.756
WO-00042,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-06-08,TECH-017,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,26.0,8.4,6.8,Bearing 6205-2RS,0.76,0.93,0.81,0.76,0.824
WO-00043,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-08-28,TECH-007,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,80.0,15.5,18.2,Coupling insert,0.77,0.74,0.72,0.86,0.767
WO-00044,EQ-0050,Electric Motor,Plant A - Line 2,2022-06-14,TECH-008,"Compressor discharge temperature 91°C, intercooler bypass suspected",overheating,High,132.0,2.8,1.8,Impeller,0.92,0.96,0.71,0.64,0.824
WO-00045,EQ-0024,Heat Exchanger,Warehouse C,2023-09-23,TECH-005,"Mechanical seal leaking at shaft interface, fluid loss approx 187 ml/hr",seal_leak,Medium,21.0,0.8,0.3,Capacitor 40µF,0.96,0.77,0.71,0.87,0.822
WO-00046,EQ-0016,Air Compressor,Warehouse C,2023-04-27,TECH-001,"Mechanical seal leaking at shaft interface, fluid loss approx 21 ml/hr. Additionally, cooling fan obstructed by debris, motor surface temperature 101°c",seal_leak,Medium,100.0,15.7,6.0,Coupling insert,0.85,0.61,0.87,0.78,0.769
WO-00047,EQ-0050,Electric Motor,Plant A - Line 2,2022-07-24,TECH-013,"Impeller damage suspected, broadband vibration increase 7.6 mm/s",vibration,Medium,,5.4,2.5,Capacitor 40µF,0.63,0.42,0.82,0.57,0.602
WO-00048,EQ-0050,Electric Motor,Plant A - Line 2,2023-03-31,TECH-020,"Bearing vibration amplitude 14.8 mm/s RMS, trending upward over last 30 days. Additionally, excessive vibration on pump casing, amplitude 15.2 mm/s at 750 rpm",bearing_wear,Medium,11.0,11.8,16.1,None - monitoring,0.49,0.99,0.97,0.45,0.752
WO-00049,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-05-27,TECH-015,"Compressor discharge temperature 116°C, intercooler bypass suspected. Additionally, hydraulic fluid leak at cylinder rod seal, 151 ml/hr estimated loss",overheating,High,144.0,2.3,2.7,Contactor 3RT2,1.0,0.57,0.96,0.69,0.799
WO-00050,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-08-18,TECH-016,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,52.0,12.8,4.5,Bearing 6205-2RS,0.55,0.74,0.73,0.99,0.74
WO-00051,EQ-0009,Cooling Tower,Plant A - Line 1,2022-05-12,TECH-006,"Excessive vibration on pump casing, amplitude 18.0 mm/s at 1500 RPM",vibration,Medium,,12.6,12.1,O-ring set,0.6,0.95,0.53,0.47,0.661
WO-00052,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-08-04,TECH-016,"Oil seepage observed around pump casing seal, minor pooling on floor. Additionally, internal corrosion found on heat exchanger tubes during inspection",seal_leak,Medium,,7.0,6.7,Capacitor 40µF,0.5,0.97,0.74,0.88,0.777
WO-00053,EQ-0044,Electric Motor,Plant B - Line 1,2022-06-13,TECH-007,"Overheating on drive-end bearing, infrared scan shows hot spot at 69°C. Additionally, compressor discharge temperature 100°c, intercooler bypass suspected",overheating,High,,15.0,16.2,O-ring set,0.65,0.71,0.75,0.59,0.681
WO-00054,EQ-0002,Heat Exchanger,Utilities Block,2023-04-07,TECH-020,"Bearing play exceeding tolerance, axial movement of 1.2mm observed. Additionally, bearing play exceeding tolerance, axial movement of 2.22mm observed",bearing_wear,Medium,,4.8,7.1,Mechanical seal kit,0.39,0.46,0.69,0.99,0.606
WO-00055,EQ-0036,Gearbox,Plant A - Line 1,2022-12-02,TECH-020,"Automatic lubrication system failed, manual greasing required",lubrication,Low,,5.4,3.2,Oil filter + 5L oil,0.72,0.7,0.75,0.69,0.716
WO-00056,EQ-0037,Gearbox,Warehouse C,2022-06-24,TECH-008,"O-ring compression set failure, intermittent leak under high pressure",seal_leak,Medium,159.0,12.5,7.1,Bearing 6205-2RS,0.7,0.82,0.6,0.66,0.703
WO-00057,EQ-0027,Gearbox,Warehouse C,2023-04-16,TECH-009,"Bearing vibration amplitude 14.4 mm/s RMS, trending upward over last 33 days",bearing_wear,Medium,,5.8,3.1,Impeller,0.43,0.55,0.78,0.53,0.574
WO-00058,EQ-0020,Electric Motor,Warehouse C,2022-10-25,TECH-009,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,21.0,5.9,3.9,Impeller,0.45,0.9,0.64,0.74,0.69
WO-00059,EQ-0018,Electric Motor,Utilities Block,2023-07-02,TECH-006,"Metal particles found in oil sample, bearing degradation confirmed. Additionally, phase imbalance detected, current draw 17% higher on l2",bearing_wear,Medium,,13.7,0.8,None - monitoring,0.92,0.51,0.96,1.0,0.823
WO-00060,EQ-0026,Cooling Tower,Warehouse C,2022-05-18,TECH-004,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,,7.8,2.3,Coupling insert,0.41,0.68,0.63,0.51,0.566
WO-00061,EQ-0048,Cooling Tower,Plant B - Line 3,2022-01-07,TECH-011,"Dynamic seal failure suspected, pressure drop of 30% noted in system",seal_leak,Medium,61.0,7.4,3.0,Oil filter + 5L oil,0.71,0.74,0.63,0.62,0.681
WO-00062,EQ-0016,Air Compressor,Warehouse C,2023-04-11,TECH-018,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,,9.9,6.2,Impeller,0.83,0.88,0.91,0.86,0.871
WO-00063,EQ-0044,Electric Motor,Plant B - Line 1,2022-04-30,TECH-017,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,Low,,11.6,8.5,Impeller,0.87,0.67,0.76,0.67,0.742
WO-00064,EQ-0004,Electric Motor,Warehouse C,2023-11-09,TECH-004,"Belt tension incorrect causing vibration and premature wear. Additionally, excessive vibration on pump casing, amplitude 14.3 mm/s at 1450 rpm",vibration,Medium,,2.6,3.4,O-ring set,0.99,0.64,0.56,0.99,0.778
WO-00065,EQ-0001,Air Compressor,Plant A - Line 1,2023-09-22,TECH-007,"Rust deposits blocking strainer, pressure differential 29 PSI across filter",corrosion,Low,,14.2,0.3,Mechanical seal kit,0.37,0.42,0.8,0.82,0.582
WO-00066,EQ-0004,Electric Motor,Warehouse C,2022-08-31,TECH-014,"Mechanical seal leaking at shaft interface, fluid loss approx 40 ml/hr",seal_leak,Medium,37.0,15.8,12.4,Oil filter + 5L oil,0.49,0.73,0.8,0.84,0.71
WO-00067,EQ-0012,Conveyor Belt,Warehouse C,2022-08-19,TECH-018,"Structural resonance observed at 3000 RPM, bolts found loose on baseplate",vibration,Medium,37.0,13.0,17.8,None - monitoring,0.98,0.73,0.57,0.55,0.716
WO-00068,EQ-0014,Cooling Tower,Plant B - Line 1,2023-05-06,TECH-007,"Mechanical seal leaking at shaft interface, fluid loss approx 18 ml/hr",seal_leak,Medium,86.0,5.2,7.1,Contactor 3RT2,0.97,0.47,1.0,0.69,0.772
WO-00069,EQ-0016,Air Compressor,Warehouse C,2023-04-26,TECH-011,"Earth leakage current 53.7mA detected, isolation check required",electrical_fault,High,,5.5,1.7,None - monitoring,0.33,0.92,0.87,0.41,0.658
WO-00070,EQ-0036,Gearbox,Plant A - Line 1,2023-10-20,TECH-012,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,7.6,8.4,O-ring set,0.4,0.73,0.59,0.93,0.653
WO-00071,EQ-0042,Electric Motor,Plant A - Line 1,2022-03-03,TECH-016,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,10.8,10.0,Impeller,0.31,0.72,0.71,0.41,0.553
WO-00072,EQ-0047,Air Compressor,Utilities Block,2023-01-18,TECH-008,"Dynamic seal failure suspected, pressure drop of 11% noted in system",seal_leak,Medium,,7.6,2.8,Oil filter + 5L oil,0.78,0.91,0.83,0.91,0.858
WO-00073,EQ-0049,Cooling Tower,Utilities Block,2022-08-24,TECH-002,"Bearing play exceeding tolerance, axial movement of 1.01mm observed",bearing_wear,Medium,178.0,14.3,10.2,Mechanical seal kit,0.78,0.57,0.77,0.79,0.716
WO-00074,EQ-0012,Conveyor Belt,Warehouse C,2022-05-24,TECH-012,"Oil analysis shows high iron content 326 ppm, internal wear indicated",lubrication,Low,,11.2,1.3,Bearing 6205-2RS,0.37,0.54,0.54,0.76,0.542
WO-00075,EQ-0040,Gearbox,Plant A - Line 1,2022-10-30,TECH-005,"Grease nipple blocked, bearing running dry for estimated 31 days",lubrication,Low,,11.6,1.4,None - monitoring,0.8,0.78,0.87,0.59,0.77
WO-00076,EQ-0007,Heat Exchanger,Utilities Block,2022-10-02,TECH-010,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient. Additionally, capacitor bank showing reduced capacitance, power factor 0.64 below target",bearing_wear,Medium,17.0,3.1,1.3,Impeller,0.85,0.62,0.97,0.83,0.807
WO-00077,EQ-0032,Electric Motor,Plant A - Line 2,2023-12-13,TECH-011,"Unbalance detected on rotating assembly, vibration 6.9 mm/s 1X component",vibration,Medium,81.0,3.3,2.0,Oil filter + 5L oil,0.81,0.78,0.98,0.87,0.856
WO-00078,EQ-0021,Gearbox,Plant B - Line 3,2023-12-11,TECH-010,"Gearbox oil temperature 115°C, possible cooler blockage",overheating,High,105.0,10.9,2.3,Contactor 3RT2,0.48,0.49,0.71,0.63,0.57
WO-00079,EQ-0029,Conveyor Belt,Plant A - Line 1,2022-12-30,TECH-013,"Grease nipple blocked, bearing running dry for estimated 29 days",lubrication,Low,157.0,1.2,1.8,Coupling insert,0.98,0.66,0.51,0.56,0.682
WO-00080,EQ-0033,Centrifugal Pump,Warehouse C,2022-03-29,TECH-007,"VFD fault code F4 logged, overcurrent on deceleration",electrical_fault,High,37.0,5.9,3.0,Capacitor 40µF,0.64,0.69,0.72,0.82,0.711
WO-00081,EQ-0021,Gearbox,Plant B - Line 3,2023-02-19,TECH-013,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,,3.4,3.4,Bearing 6205-2RS,0.82,0.93,0.72,0.66,0.796
WO-00082,EQ-0001,Air Compressor,Plant A - Line 1,2023-10-17,TECH-012,"Phase imbalance detected, current draw 11% higher on L2",electrical_fault,High,100.0,10.0,8.8,Coupling insert,0.89,0.77,0.91,0.82,0.845
WO-00083,EQ-0020,Electric Motor,Warehouse C,2023-05-14,TECH-006,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,11.2,10.8,Capacitor 40µF,0.42,0.57,0.59,0.91,0.606
WO-00084,EQ-0040,Gearbox,Plant A - Line 1,2023-07-11,TECH-002,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient. Additionally, lubricant contamination detected, water content 34% above limit",bearing_wear,Medium,,6.2,7.7,Impeller,0.68,0.99,0.55,0.9,0.785
WO-00085,EQ-0049,Cooling Tower,Utilities Block,2023-06-11,TECH-014,"O-ring compression set failure, intermittent leak under high pressure. Additionally, o-ring compression set failure, intermittent leak under high pressure",seal_leak,Medium,,11.0,1.6,Bearing 6205-2RS,0.99,0.92,0.56,0.92,0.848
WO-00086,EQ-0016,Air Compressor,Warehouse C,2023-02-17,TECH-015,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,Medium,72.0,11.3,14.9,Impeller,0.53,0.4,0.89,0.84,0.643
WO-00087,EQ-0047,Air Compressor,Utilities Block,2023-05-12,TECH-002,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,Low,,14.4,16.5,Mechanical seal kit,0.74,0.9,0.51,0.96,0.774
WO-00088,EQ-0011,Cooling Tower,Plant A - Line 1,2022-01-10,TECH-014,"Motor winding temperature reached 92°C, thermal protection triggered. Additionally, belt tension incorrect causing vibration and premature wear",overheating,High,88.0,13.2,19.6,O-ring set,0.63,0.54,0.54,0.88,0.631
WO-00089,EQ-0007,Heat Exchanger,Utilities Block,2022-06-05,TECH-007,"Dynamic seal failure suspected, pressure drop of 14% noted in system",seal_leak,Medium,,10.0,6.6,Mechanical seal kit,0.93,0.48,0.56,0.84,0.684
WO-00090,EQ-0023,Cooling Tower,Warehouse C,2023-09-14,TECH-008,"Oil analysis shows high iron content 387 ppm, internal wear indicated",lubrication,Low,101.0,5.1,0.4,Impeller,0.57,0.54,0.82,0.44,0.597
WO-00091,EQ-0001,Air Compressor,Plant A - Line 1,2022-02-10,TECH-010,"Oil analysis shows high iron content 350 ppm, internal wear indicated",lubrication,Low,,15.2,9.1,Capacitor 40µF,0.84,0.65,0.7,0.78,0.736
WO-00092,EQ-0035,Electric Motor,Warehouse C,2022-09-02,TECH-020,"Misalignment between motor and gearbox shaft, 10.2 mm/s 2X vibration",vibration,Medium,23.0,14.8,2.6,Bearing 6205-2RS,0.52,0.85,0.87,0.47,0.696
WO-00093,EQ-0046,Electric Motor,Plant B - Line 3,2022-04-16,TECH-017,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, grease nipple blocked, bearing running dry for estimated 39 days",bearing_wear,Medium,,10.9,1.9,Bearing 6205-2RS,0.33,0.92,0.62,0.68,0.65
WO-00094,EQ-0025,Centrifugal Pump,Plant A - Line 1,2022-02-23,TECH-003,"Lubricant contamination detected, water content 19% above limit",lubrication,Low,133.0,15.7,22.5,Impeller,0.91,0.86,0.66,0.45,0.74
WO-00095,EQ-0030,Gearbox,Plant A - Line 1,2022-01-07,TECH-001,"Bearing temperature elevated to 83°C during operation, vibration increasing",bearing_wear,Medium,,0.9,0.7,Coupling insert,0.3,0.79,0.92,0.84,0.71
WO-00096,EQ-0007,Heat Exchanger,Utilities Block,2023-08-18,TECH-019,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,35.0,10.4,6.2,Bearing 6205-2RS,0.6,0.98,0.62,0.56,0.711
WO-00097,EQ-0021,Gearbox,Plant B - Line 3,2023-02-21,TECH-010,"Grease nipple blocked, bearing running dry for estimated 31 days",lubrication,Low,92.0,15.5,4.8,Impeller,0.49,0.47,0.58,0.81,0.57
WO-00098,EQ-0046,Electric Motor,Plant B - Line 3,2023-07-24,TECH-005,"Insulation resistance measured at 26 MΩ, below 100 MΩ minimum",electrical_fault,High,,4.4,3.0,Mechanical seal kit,0.31,0.9,0.99,0.48,0.691
WO-00099,EQ-0026,Cooling Tower,Warehouse C,2023-09-27,TECH-018,"Electrical cabinet temperature 106°C due to failed ventilation fan. Additionally, motor winding resistance out of tolerance, possible turn-to-turn short",overheating,High,,10.5,7.9,Impeller,0.34,0.57,0.57,0.52,0.502
WO-00100,EQ-0034,Air Compressor,Plant B - Line 1,2022-01-31,TECH-016,"O-ring compression set failure, intermittent leak under high pressure",seal_leak,Medium,,12.6,1.1,Capacitor 40µF,0.55,0.75,0.62,0.5,0.617
WO-00101,EQ-0016,Air Compressor,Warehouse C,2023-12-16,TECH-019,"Contactor pitting observed, intermittent contact causing voltage dips",electrical_fault,High,152.0,0.9,0.9,O-ring set,0.69,0.51,0.99,0.93,0.759
WO-00102,EQ-0032,Electric Motor,Plant A - Line 2,2022-04-14,TECH-014,"Unbalance detected on rotating assembly, vibration 2.9 mm/s 1X component. Additionally, automatic lubrication system failed, manual greasing required",vibration,Medium,83.0,2.6,0.6,Impeller,0.75,0.5,0.98,0.82,0.746
WO-00103,EQ-0040,Gearbox,Plant A - Line 1,2023-09-19,TECH-011,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,145.0,2.1,1.6,Mechanical seal kit,0.47,0.99,0.58,0.93,0.746
WO-00104,EQ-0006,Gearbox,Warehouse C,2023-03-06,TECH-013,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,,14.2,10.5,Coupling insert,0.68,0.46,0.74,0.92,0.677
WO-00105,EQ-0042,Electric Motor,Plant A - Line 1,2022-04-06,TECH-014,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,158.0,14.3,15.1,O-ring set,0.73,0.66,0.53,0.6,0.633
WO-00106,EQ-0013,Electric Motor,Plant B - Line 1,2022-10-29,TECH-004,"Compressor discharge temperature 111°C, intercooler bypass suspected",overheating,High,,10.2,7.3,Bearing 6205-2RS,0.44,0.78,0.99,0.68,0.727
WO-00107,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-08-20,TECH-004,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,,9.2,2.1,Mechanical seal kit,0.77,0.88,0.71,0.85,0.804
WO-00108,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-08-09,TECH-015,"Impeller damage suspected, broadband vibration increase 8.7 mm/s",vibration,Medium,,10.1,1.8,O-ring set,0.96,0.5,0.61,0.52,0.646
WO-00109,EQ-0003,Cooling Tower,Plant A - Line 1,2023-06-17,TECH-017,Electrical cabinet temperature 92°C due to failed ventilation fan,overheating,High,4.0,12.7,11.9,None - monitoring,0.38,0.49,0.78,0.75,0.587
WO-00110,EQ-0007,Heat Exchanger,Utilities Block,2022-11-07,TECH-008,"Wrong lubricant grade used during last service, compatibility issue. Additionally, earth leakage current 40.6ma detected, isolation check required",lubrication,Low,126.0,13.8,14.2,O-ring set,0.51,0.85,0.89,0.59,0.723
WO-00111,EQ-0047,Air Compressor,Utilities Block,2023-06-21,TECH-007,Electrical cabinet temperature 70°C due to failed ventilation fan,overheating,High,,0.9,0.3,Bearing 6205-2RS,0.47,0.67,0.96,0.82,0.722
